,Statistic,Value,Name
3,runs,19,Grichuk
4,doubles,10,Grichuk
5,triples,0,Grichuk
6,homeRuns,7,Grichuk
7,strikeOuts,30,Grichuk
8,baseOnBalls,8,Grichuk
9,intentionalWalks,0,Grichuk
10,hits,44,Grichuk
11,hitByPitch,1,Grichuk
12,avg,.280,Grichuk
13,atBats,157,Grichuk
14,obp,.317,Grichuk
15,slg,.478,Grichuk
16,ops,.795,Grichuk
17,caughtStealing,2,Grichuk
18,stolenBases,0,Grichuk
19,stolenBasePercentage,.000,Grichuk
20,groundIntoDoublePlay,5,Grichuk
21,numberOfPitches,552,Grichuk
22,plateAppearances,167,Grichuk
23,totalBases,75,Grichuk
24,rbi,34,Grichuk
25,leftOnBase,69,Grichuk
26,sacBunts,0,Grichuk
27,sacFlies,1,Grichuk
28,babip,.306,Grichuk
29,groundOutsToAirouts,0.75,Grichuk
30,atBatsPerHomeRun,22.43,Grichuk
31,runs_per_game,0.4523809523809524,Grichuk
